method,cost_weight,stretch_opt_weight,stretch_avg_weight,length_weight,dist_thresh,adjusted_rand_index_mean,adjusted_rand_index_std,adjusted_rand_index_min,adjusted_rand_index_max,adjusted_mutual_info_mean,adjusted_mutual_info_std,adjusted_mutual_info_min,adjusted_mutual_info_max,homogeneity_mean,homogeneity_std,homogeneity_min,homogeneity_max,completeness_mean,completeness_std,completeness_min,completeness_max,v_measure_mean,v_measure_std,v_measure_min,v_measure_max,v_measure_perfect_count,pairwise_f1_mean,pairwise_f1_std,pairwise_f1_min,pairwise_f1_max,n_pieces_succeeded
ward,1.0,1.0,0.3,0.0,0.5,0.20784675324675325,0.30057701590350944,-0.0288,1.0,0.23576363636363637,0.2925005960296251,-0.0846,1.0,0.9024688311688311,0.1972340835247008,0.1573,1.0,0.328061038961039,0.2946100438928668,0.0,1.0,0.39518961038961037,0.2982291847645075,0.0,1.0,6,0.3579831168831168,0.3265474955620047,0.0,1.0,77
ward,2.0,0.3,0.3,0.0,0.5,0.25496233766233767,0.3397661059660991,-0.0606,1.0,0.28293246753246754,0.3315645640213842,-0.1408,1.0,0.9023857142857142,0.19681223612729185,0.1844,1.0,0.3543766233766234,0.32386196149422075,0.0,1.0,0.41841038961038957,0.32228579781999633,0.0,1.0,9,0.4081675324675324,0.33268498318494694,0.0,1.0,77
ward,2.0,1.0,0.3,0.0,0.5,0.2180077922077922,0.2999574258822057,-0.0552,1.0,0.24654545454545457,0.29224518817562484,-0.1127,1.0,0.9023181818181818,0.19124209157897074,0.1844,1.0,0.3311701298701299,0.29558060278735976,0.0,1.0,0.4007753246753246,0.299267607367887,0.0,1.0,6,0.37506753246753244,0.31708946193138815,0.0,1.0,77
ward,3.0,0.0,0.7,0.0,0.5,0.2573571428571429,0.3412890268549181,-0.0606,1.0,0.28531168831168835,0.3327286995822889,-0.1408,1.0,0.902222077922078,0.2001591319025788,0.1844,1.0,0.3504558441558442,0.31674231998746344,0.0,1.0,0.41898571428571424,0.3231373061518697,0.0,1.0,9,0.4147298701298701,0.3315410668045592,0.0,1.0,77
ward,2.0,0.0,0.3,0.0,0.5,0.25492467532467533,0.3411915500224365,-0.0606,1.0,0.28493116883116887,0.33267583545553236,-0.1336,1.0,0.9020506493506493,0.20098859735271576,0.1844,1.0,0.34987792207792207,0.31695679111614455,0.0,1.0,0.41839870129870127,0.3233019140998875,0.0,1.0,9,0.4129324675324675,0.3296091859147221,0.0,1.0,77
ward,2.0,1.0,1.0,0.0,0.5,0.23749220779220778,0.32319587955705453,-0.0288,1.0,0.26575714285714286,0.31581700415164043,-0.0846,1.0,0.9019987012987014,0.19986767732645472,0.1573,1.0,0.34714025974025975,0.3122851532663407,0.0,1.0,0.4110493506493506,0.31236182134608464,0.0,1.0,8,0.39267922077922074,0.3375892218141851,0.0,1.0,77
ward,1.0,0.7,0.7,0.0,0.5,0.2288233766233766,0.311686666213189,-0.0288,1.0,0.25848311688311687,0.30533062658885396,-0.0846,1.0,0.9019987012987014,0.19986767732645472,0.1573,1.0,0.34124155844155846,0.3042213562483266,0.0,1.0,0.40713116883116884,0.3070238364872687,0.0,1.0,7,0.38511038961038957,0.33156067536802,0.0,1.0,77
ward,1.0,0.7,0.0,0.0,0.5,0.2105753246753247,0.3014860881353903,-0.0552,1.0,0.237774025974026,0.29261660985718324,-0.1127,1.0,0.9014350649350649,0.1908131586073745,0.1844,1.0,0.3286701298701299,0.2947150788120688,0.0,1.0,0.39722987012987016,0.2970370050255162,0.0,1.0,6,0.36104805194805195,0.3207089794645484,0.0,1.0,77
ward,2.0,0.7,0.7,0.0,0.5,0.24137792207792205,0.3224789064372753,-0.0552,1.0,0.2711155844155844,0.31428278484198763,-0.1127,1.0,0.9010935064935066,0.19329346932193464,0.1844,1.0,0.3473363636363637,0.3135633973094299,0.0,1.0,0.41252727272727263,0.31259757526473736,0.0,1.0,8,0.39819220779220776,0.3277483960420137,0.0,1.0,77
ward,1.0,0.0,0.3,0.0,0.5,0.25729220779220785,0.3412996975909078,-0.0606,1.0,0.28476753246753245,0.33309664189535626,-0.1408,1.0,0.9009142857142858,0.20115903233368587,0.1844,1.0,0.35007142857142864,0.31687987885827007,0.0,1.0,0.41831558441558436,0.32327540028967666,0.0,1.0,9,0.413851948051948,0.3325896366279458,0.0,1.0,77
ward,2.0,1.0,0.7,0.0,0.5,0.22521818181818185,0.31060247351323267,-0.0383,1.0,0.25517792207792206,0.3039505768195366,-0.1127,1.0,0.9008376623376624,0.2018752977812679,0.1573,1.0,0.33866363636363644,0.3042190755860211,0.0,1.0,0.4047532467532467,0.3066818989845721,0.0,1.0,7,0.38258051948051947,0.3240012490111251,0.0,1.0,77
ward,3.0,0.3,0.7,0.0,0.5,0.25508831168831175,0.3397161794655299,-0.0606,1.0,0.28322207792207793,0.3320740602043727,-0.1408,1.0,0.9006831168831169,0.2017444477116851,0.1844,1.0,0.35419090909090917,0.32383360372939735,0.0,1.0,0.41796883116883116,0.32281874543639394,0.0,1.0,9,0.40960519480519475,0.331938424072314,0.0,1.0,77
